CustomerId,Recency,Frequency,Monetary,is_high_risk
CustomerId_1,84,1,10000.0,1
CustomerId_10,84,1,10000.0,1
CustomerId_1001,90,5,30400.0,1
CustomerId_1002,26,11,4775.0,0
CustomerId_1003,12,6,32000.0,0
CustomerId_1004,53,1,2000.0,1
CustomerId_1005,47,9,61200.0,1
CustomerId_1006,65,1,1000.0,1
CustomerId_1007,82,1,28000.0,1
CustomerId_1008,66,2,20000.0,1
CustomerId_1009,28,1,500.0,0
CustomerId_1010,42,7,29665.0,1
CustomerId_1012,5,74,132894.0,0
CustomerId_1014,50,8,763880.0,1
CustomerId_1016,5,5,32000.0,0
CustomerId_1020,27,203,298605.0,0
CustomerId_1021,78,1,5000.0,1
CustomerId_1022,35,1,7000.0,0
CustomerId_1025,12,16,19800.0,0
CustomerId_1027,1,14,27230.0,0
CustomerId_1028,26,1,500.0,0
CustomerId_1029,8,9,63000.0,0
CustomerId_1030,31,8,4650.0,0
CustomerId_1031,15,50,140161.2,0
CustomerId_1032,34,2,2000.0,0
CustomerId_1033,67,2,1050.0,1
CustomerId_1034,9,16,61292.0,0
CustomerId_1036,91,3,2050.0,1
CustomerId_1038,12,5,31000.0,0
CustomerId_1039,12,30,271105.0,0
CustomerId_1040,38,1,50000.0,1
CustomerId_1043,47,6,36000.0,1
CustomerId_1044,48,16,23517.5,1
CustomerId_1048,43,1,1000.0,1
CustomerId_1050,54,1,5000.0,1
CustomerId_1052,24,7,59100.0,0
CustomerId_1053,90,7,13812.0,1
CustomerId_1054,5,52,164700.0,0
CustomerId_1055,82,5,6150.0,1
CustomerId_1056,56,4,5500.0,1
CustomerId_1057,91,2,5496.0,1
CustomerId_1058,5,29,15185.0,0
CustomerId_1059,12,9,62000.0,0
CustomerId_1063,2,12,15675.0,0
CustomerId_1064,6,42,254580.0,0
CustomerId_1068,53,1,500.0,1
CustomerId_1070,26,1,5000.0,0
CustomerId_1071,3,7,241710.0,0
CustomerId_1073,72,1,1000.0,1
CustomerId_1074,5,46,268700.0,0
CustomerId_1078,47,6,41000.0,1
CustomerId_1079,45,1,20000.0,1
CustomerId_1080,31,1,5000.0,0
CustomerId_1081,14,2,1500.0,0
CustomerId_1082,47,5,31000.0,1
CustomerId_1083,32,1,500.0,0
CustomerId_1084,71,1,10000.0,1
CustomerId_1085,58,4,5100.0,1
CustomerId_1086,5,32,79024.0,0
CustomerId_1087,33,9,62000.0,0
CustomerId_1089,37,152,175728.5,0
CustomerId_1091,25,2,3000.0,0
CustomerId_1092,19,16,97000.0,0
CustomerId_1093,33,55,81340.0,0
CustomerId_1094,25,7,44540.0,0
